Sample	Category	
animal - porcine-feces	animal	
animal - rodent	animal	
animal (camel)	animal	
animal (cattle)	animal	
animal (gyrfalcon)	animal	
animal (poultry)	animal	
animal (swine)	animal	
animal cloacal swabs	animal	
animal facilities of max-planck-institute for evolutionary biology	animal	
animal farm	animal	
animal feces	animal	
animal feed	animal	
animal feed, bulk ground corn	animal	
animal feed, raw chicken carcass at slaughterhouse	animal	
animal feed, raw chicken meat at retail store	animal	
animal feed, soybean meal	animal	
animal isolate	animal	
animal meat	animal	
animal tissue	animal	
animal-chicken	animal	
animal-domestic cattle	animal	
animal, carcass of dead zebra	animal	
animal, fecal content at slaughterhouse	animal	
animals foodstaff	animal	
ant colony in branch	animal	
ant lion was highly virulent to insects including the silkworm, bombyx mori, and american cockroach, periplaneta americana (egami et al	animal	
ant nest on rock	animal	
antarctic penguin faecal samples	animal	
aphid	animal	
aphid, baizongia pistaciae	animal	
aphid, schizaphis graminum	animal	
apoblema of swine	animal	
apodemus chevrieri (chevrier's field mouse)	animal	
arabia oryx	animal	
ascidian botryllus sp.	animal	
asian swamp eel	animal	
asymptomatic dairy cattle and dairy farm environments	animal	
atlantic salmon	animal	
atlantic salmon (salmo salar)	animal	
babgladeshi fresh water fish (bacha)	animal	
bacterial endosymbionts found in trichonympha flagellates filtered from termite gut	animal	
bacteriocytes of mediterranean bemisia tabaci	animal	
bacteriocytes of mediterranean bemisiatabaci	animal	
balb/c mice 1 week after infection with brucella melitensis 16m	animal	
balb/c mice 13 weeks after infection with brucella melitensis 16m	animal	
banana prawn	animal	
bandicoot rats (bandicota sp	animal	
beaked whales	animal	
bee guts	animal	
beetle larvae from highlands in the colombian andes	animal	
beluga whale from mystic aquarium	animal	
big eye fish	animal	
biological sample of sheep	animal	
bird feces	animal	
bison	animal	
bison; field isolate	animal	
blood of a laboratory mouse	animal	
blood of an experimentally infected cat	animal	
blood of an infected pig	animal	
blood of an infected pig with septicemia associated with meningitis	animal	
blood of buffalo calf after artificial infection with haemorrhagic septicemi causing organism, pasteurella multocida	animal	
blood of diseased crucian carp	animal	
blood of infected scid mice	animal	
blood of laboratory mouse	animal	
blue mussels	animal	
bobtail squid	animal	
body louse	animal	
boiled ox blood	animal	
bombyx mori	animal	
boot swab from broiler farm	animal	
boot swabs from broiler farm	animal	
boot swabs from chicken facility	animal	
bos primigenius	animal	
bos sp	animal	
bos taurus	animal	
both the patient and from the poultry flock sampled at the abattoir, thus providing a clear-cut case of the direct transmission of disease from poultry to human	animal	
bottlenose dolphin	animal	
bottlenose dolphin (tursiops truncatus)	animal	
bovinae	animal	
bovine	animal	
bovine adipose trim	animal	
bovine blood	animal	
bovine botulism	animal	
bovine carcass	animal	
bovine fecal sample	animal	
bovine feces	animal	
bovine fetus	animal	
bovine hide	animal	
bovine isolate	animal	
bovine johne's disease	animal	
bovine liver abscess	animal	
bovine lung, and lost its immunity to bovine but obtained virus to rabbit after continuous cultivation	animal	
bovine lymph node	animal	
bovine mastitis	animal	
bovine mastitis milk	animal	
bovine material	animal	
bovine milk	animal	
bovine organ	animal	
bovine post-intervention carcass	animal	
bovine pre-evisceration carcass	animal	
bovine respiratory track	animal	
bovine respiratory tract	animal	
bovine rumen	animal	
bovine; diarrhoea, faecal isolate	animal	
brain of a dog	animal	
brain of a pig with meningitis	animal	
brain of duck	animal	
brain of infected fish	animal	
breast of turkey	animal	
british red deer feces	animal	
broiler	animal	
broiler breeder	animal	
broiler chick cecum	animal	
broiler chicken	animal	
broiler chickens	animal	
broiler farm	animal	
broiler feces collected from farm sometime between 1998-2001	animal	
broiler feces from chicken farm collected between 1998-2001	animal	
broiler leg	animal	
broiler skin	animal	
brown shark kidney	animal	
brown trout with furunculosis	animal	
bubalus sp	animal	
buffalo diagnosticated with oedematous skin disease (osd)	animal	
buffalo mozzarella curd	animal	
buffalo mozzarella whey	animal	
buffalo rumen fluid	animal	
bumblebee crop	animal	
bumblebee digestive tract	animal	
bushtit nest found 20 feet off the ground in a eucalyptus tree	animal	
c57bl/6 mouse at an animal facility	animal	
c57bl/6 mouse at the animal research facility	animal	
cadaver of an oryctes gigas	animal	
caecum mucosa from a healthy weaned piglet	animal	
caecum of a healthy chicken	animal	
caged monkeys	animal	
calf	animal	
calf 1183	animal	
calf feces	animal	
calf with septicemia	animal	
california ground squirrel (spermophilus beecheyi)	animal	
california sea lion	animal	
calm larvae in shellfish hatchery	animal	
canine feces	animal	
canine oral subgingival	animal	
canine skin	animal	
canine throat, beagle	animal	
canis lupus familiaris	animal	
caries lesion in hamster	animal	
cat	animal	
cat fleas	animal	
cat gut	animal	
cat skin	animal	
cat with conjunctivitis	animal	
catfish	animal	
catfish with osteolytic bone lesions	animal	
cattle	animal	
cattle blood	animal	
cattle faeces	animal	
cattle farm	animal	
cattle feces from china	animal	
cattle feed mix	animal	
cattle hide	animal	
cattle manure	animal	
cattle milk	animal	
cattle rumen	animal	
cattle tick, amblyomma variegatum, collected	animal	
cattle waste-corn fermentation	animal	
cattle waste-corn fermentations	animal	
cattle; field isolate	animal	
cecal heifer	animal	
cecal young chicken	animal	
cecal young turkey	animal	
cecum of 6 weeks-old tunisian healthy chicken	animal	
cedar aphid, cinara cedri	animal	
cerebellum of holstein calf	animal	
channel catfish	animal	
chelonian	animal	
chicken breast	animal	
chicken breast meat	animal	
chicken breeding waste	animal	
chicken caecum	animal	
chicken carcass	animal	
chicken carcass from an inspected slaughter plant	animal	
chicken cecal content	animal	
chicken cecum	animal	
chicken clinically diagnosed with colibacillosis	animal	
chicken cutlett	animal	
chicken drumstick	animal	
chicken dung	animal	
chicken farm	animal	
chicken fecal	animal	
chicken fecal material	animal	
chicken feces	animal	
chicken fillet	animal	
chicken gizzard	animal	
chicken gut	animal	
chicken head	animal	
chicken intestinal	animal	
chicken intestinal content	animal	
chicken kebab	animal	
chicken legs	animal	
chicken liver	animal	
chicken meat	animal	
chicken offal or meat	animal	
chicken ovary	animal	
chicken retail meat	animal	
chicken retail meat isolate	animal	
chicken retail meat isolate.	animal	
chicken rinse	animal	
chicken thighs	animal	
chicken whole broiler carcass	animal	
chicken wing	animal	
chicken wings	animal	
chicken yard waste	animal	
chicken-abbatoir-sporadic	animal	
chilean honey bees gut	animal	
chinook salmon	animal	
choanal cleft of chicken	animal	
chrysomya megacephala	animal	
citellus pygmaeus	animal	
clam	animal	
clams	animal	
clams of ruditapes decussatus	animal	
clams of ruditapes philippinarum	animal	
clinical bovine mastitis case	animal	
cloaca content	animal	
cloaca swabs from commercial farm	animal	
cloaca swabs from hatchery farm	animal	
cloacae	animal	
cloacae of healthy wild penguins (spheniscus magellanicus)	animal	
cloacal swab	animal	
cloacal swab from ibis	animal	
cod	animal	
coho salmon	animal	
coho salmon kidney, oncorhynchus kisutch, puget sound, wa	animal	
collected in swedish zoo from an animal originally from south africa	animal	
colon tissue of a pig with mucohaemorrhagic diarrhea	animal	
colony of african clawed frogs	animal	
copper fed pig	animal	
cornsnake	animal	
cow	animal	
cow carcass	animal	
cow dung	animal	
cow feces	animal	
cow manure	animal	
cow rumen	animal	
cow skin	animal	
cow suffering necrotic lesions	animal	
cow with mastitis	animal	
cow with pinkeye	animal	
crab	animal	
crab stomach contents, specimen collected from plum island	animal	
crabs (environmental isolate)	animal	
crassostrea gigas	animal	
crassostrea virginica	animal	
cricetomys sp	animal	
crimson rosella parrot (platycercus elegans)	animal	
crow (corvus spp	animal	
crucian carp (carassius carassius)	animal	
cynomologus macacque (macaca fascicularis) at usamriid has been sequenced as a representative of this novel pathogen; nasal swab	animal	
dairy animal	animal	
dairy animals with johne's disease	animal	
dairy calf feces	animal	
dairy cattle	animal	
dairy cow feces	animal	
dairy cow hide swab	animal	
dairy cow, <6 weeks old calf	animal	
dairy cow, adult	animal	
dairy cows with mastitis	animal	
dalbulus maidis	animal	
damselfish skin ulcers	animal	
daphnia magna breeding	animal	
day-old chick	animal	
dead amphipod	animal	
dead beaver	animal	
dead buffalo during an outbreak of hemorrhagic septicaemia	animal	
dead cow	animal	
dead lamb	animal	
dead larva	animal	
dead marmot	animal	
dead mosquito larve	animal	
dead pig in sichuan province, china	animal	
dead platanus x acerifolia	animal	
decaying crab carapace	animal	
decomposing penguin feathers	animal	
deep sea crustacean, hirondellea gigas, obtained from the marianas trench at a depth of 10,476 meters	animal	
deer meat	animal	
dermacentor sinicus ticks collected	animal	
desert subterranean termite gut	animal	
diabetes resistant rats	animal	
diarrhea piglet	animal	
didelphis marsupialis	animal	
different animals	animal	
digestive tract of healthy swine	animal	
disease duck	animal	
diseased bluegill	animal	
diseased buffalo with haemorrhagic septicaemia	animal	
diseased cage-cultured grouper	animal	
diseased channel catfish	animal	
diseased elver	animal	
diseased fish	animal	
diseased fish from the elbe river, germany	animal	
diseased larvae	animal	
diseased megalobrama amblycephala	animal	
diseased olive flounder at commercial aquaculture farm	animal	
diseased oscar fish	animal	
diseased pig	animal	
diseased sheatfish (silurus glanis)	animal	
diseased shrimp hemolymph	animal	
diseased shrimp lesion	animal	
diseased tilapia and sequenced using illumine miseq platform	animal	
diseases juvenile giant grouper epinephelus lanceolatus after a vibriosis outbreak	animal	
dissected ovaries of muscidifurax uniraptor females that were grown in the laboratory	animal	
dog	animal	
dog blood	animal	
dog ear infection, with clinical manifestations of bilateral otitis	animal	
dog feces	animal	
dog in the united kingdom	animal	
dog mouth	animal	
dog nail	animal	
dog skin	animal	
dog tonsil (ladlow et al., 2006)	animal	
dog with canine infectious respiratory disease (cird)	animal	
dog with hemorrhagic gastroenteritis	animal	
dog with mastitis	animal	
domestic dog with endocarditis	animal	
donkey jack; genital tract	animal	
dried bat dung	animal	
droppings of bar-headed goose	animal	
drosophila	animal	
drosophila gut	animal	
drosophila intestine	animal	
drosophila suzukii larvae	animal	
duck	animal	
duck intestine	animal	
duck intestines	animal	
duck liver paste during a botulism outbreak at a hotel	animal	
duck with tremor	animal	
earthworm gut	animal	
eel	animal	
efb infected honey bee larva	animal	
efb-infected honey bee colony	animal	
elephant	animal	
environmental-chicken	animal	
environmental-quail	animal	
epidermis of alvinella pompejan	animal	
equine body fluid/excretion	animal	
equine gastrointestinal tract	animal	
equine isolate	animal	
equine lower respiratory tract	animal	
equine mare with infectious endometritis	animal	
equine vaginal discharge, thoroughbred cross horse	animal	
equus ferus caballus	animal	
european foulbrood infected honey bee larva	animal	
european foulbrood of german honey bees (efb)-infected larva	animal	
exoskeleton of ant	animal	
external lesion of a diseased snapper	animal	
faecal sample from a clinically health cow	animal	
faeces swabs from chicken commercial farm	animal	
faeces swabs of swallow from chicken commercial farm	animal	
farmed rainbow trout (oncorhynchus mykiss)	animal	
fat body of female adult german cockroach	animal	
fatting pig at farm	animal	
feather collected from a local poultry farm	animal	
fecal composite (dairy cow farm)	animal	
fecal sample from a deer	animal	
fecal sample from dairy farm	animal	
fecal sample of a 5-year-old ring-tailed lemur (lemur catta)	animal	
fecal sample of organically raised pig	animal	
fecal samples from a 12-year-old male koala named zagget	animal	
fecal samples from slaughtered sheep	animal	
fecal samples of healthy thoroughbred	animal	
fecal samples taken from pigs along with a further isolate from a farrowing house on 38 pig farms	animal	
feces collected from farm sometime between 1998-2001	animal	
feces from chicken	animal	
feces from crow roost	animal	
feces from dairy cow	animal	
feces from giant panda at shaanxi rare wildlife rescuing and breeding center	animal	
feces of baby common marmoset	animal	
feces of canada goose	animal	
feces of common marmoset	animal	
feces of healthy thoroughbred	animal	
feces of male piglet	animal	
feces of tamarin	animal	
feces of thoroughbred horse	animal	
feces of vulture	animal	
feces of wild yakushima macaques (macaca fuscata yakui)	animal	
feces, dairy cow	animal	
feces, wild japanese wood mouse	animal	
female bovine urogenital tract	animal	
female ixodes persulcatus tick	animal	
female koala suffering from ocular and urogenital tract infections	animal	
female pig fecal storage tank	animal	
fetal bovine kidney	animal	
fetus gastric of dairy cattle	animal	
field-collected bean bug riptortus pedestris	animal	
finespotted flounder	animal	
firefly gut	animal	
firefly pupa	animal	
fireworm hermodice carunculata	animal	
fish	animal	
fish (foodborne isolate)	animal	
fish (gill)	animal	
fish and from mammals, we performed the complete genome sequencing and annotation of the st261 strain 2-22 (or atcc 51487) responsible for events of invasive diseases	animal	
fish and from mammals, we performed the genome sequencing and annotation of the streptococcus agalactiae strain ss1218 isolated from fish and belonging to st261	animal	
fish farm	animal	
fish from river	animal	
fish hatchery	animal	
fish in the family leiognathidae	animal	
fish intestine	animal	
fish light organ	animal	
fish stomach	animal	
fish with kidney, systemic disease	animal	
fish with winter ulcer	animal	
fish, fish products and shellfish	animal	
flatworm	animal	
flea captured from prairie dog burrow showing signs of recent die-off	animal	
flounder (paralichthys olivaceous), is presented	animal	
foregut of the tammar wallaby	animal	
foulbrood of honeybees	animal	
franklin gull	animal	
fresh fecal samples collected on different days of two tibetan antelopes collected on different days and at different locations	animal	
fresh goats' milk	animal	
frog	animal	
frog legs	animal	
from the surface coat protein of pine wood nematode	animal	
frozen chicken carcass	animal	
frozen ground yellowfin tuna	animal	
fruit bat held in captivity suffering from necrosis of its wing	animal	
fur	animal	
garuma gull	animal	
gastric juice from a dolphin kept incaptivity in a marine aquarium	animal	
gastrointestinal tract of the mollusk sea slug elysia ornata collected in seawater off the coast of izu-miyake island, japan at a depth of 15 m	animal	
gerbil stomach	animal	
giant panda feces	animal	
gill	animal	
gill of flatfish	animal	
gill tissue	animal	
gill tissue of a wood-boring mollusc lyrodus pedicellatus	animal	
gill tissue of adult individuals collected in thalassia testudinum seagrass beds on ilet cochon	animal	
gill tissue of clam	animal	
gills	animal	
gills, fins and scales pooled from 10 healthy tilapia fish grown in aquaculture ponds	animal	
gizzard	animal	
gnotobiotic mouse fecal sample colonized with soil-derived microbiota	animal	
goat	animal	
goat caseous granulomas	animal	
goat hair	animal	
goat lung tissue	animal	
goat rumen	animal	
goat skin from a tannery	animal	
goat with arthritis	animal	
goat with pleuropneumonia	animal	
goat's feces	animal	
goose feces	animal	
grana and fresh insects from oaxaca,mexico and the andes in peru	animal	
grown from swabs or samples taken fromcow genitalia:vagina	animal	
guinea pig	animal	
guinea pig infected with blood from typhus patient	animal	
gut flora of female balb/c mice (charles river laboratories)	animal	
gut necropsy from a cow with clinical bovine johne's disease	animal	
gut necropsy from a sheep with clinical ovine johne's disease	animal	
gut of an overwintering female monarch butterfly	animal	
gutless marine worms	animal	
gutless worms collected in the mediterranean sea, off the coast of capo di sant andrea, elba, italy	animal	
guts of larvae	animal	
guttural pouch of horse with post strangles myopathy	animal	
gypsy moth larva	animal	
haemaphysalis sulcata ticks collected	animal	
halibut eggs	animal	
hamster dental plaque	animal	
harvested from its host, the tube worm riftia pachyptila	animal	
healthy chicken	animal	
healthy chicken intestine	animal	
healthy coral	animal	
healthy cow feces	animal	
healthy dog	animal	
healthy honey bees (apis mellifera)	animal	
healthy mouse fecal sample	animal	
healthy thoroughbred racehorse	animal	
healthy weaning piglets	animal	
heart blood of a sicked duck	animal	
heart of a broiler carcass	animal	
hemocoel of heliothis virescens larva	animal	
hen's egg	animal	
herring pyloric ceca	animal	
hilsa fish	animal	
hindgut of cryptocercus punctulatus	animal	
hindgut of the termite heterotermes indicola	animal	
homogenate diseased silkworms	animal	
honey bee gut	animal	
honey bee larvae	animal	
honey bee midgut	animal	
honeybee gut	animal	
honeybee guts	animal	
honeybee host collected	animal	
horse	animal	
horse blood	animal	
horse dung	animal	
horse faces	animal	
horse feces	animal	
horse manure	animal	
horse urine	animal	
horsefly	animal	
hot region of horse manure compost (70-80c)	animal	
housefly	animal	
hyalomma asiaticum ticks collected	animal	
iguana iguana	animal	
indian meal moth	animal	
infected cattle	animal	
infected dog	animal	
infected duck	animal	
infected ewe	animal	
infected goat	animal	
infected lymph node of a sheep, characterized as biovar ovis	animal	
infected pig	animal	
infected surti goat	animal	
infected tick	animal	
insect	animal	
insect associated with banana plant	animal	
insect gut	animal	
insect intestine	animal	
insect larvae	animal	
insect surface	animal	
insect vector of yellows disease	animal	
intestinal content of rainbow trout reared in puerto montt	animal	
intestinal tract content of a 9000-year-old elk (alces alces) from permafrost on the omoloy river	animal	
intestine of a cow	animal	
intestine of healthy duck	animal	
intestine of snail	animal	
intestines and feces of rats with diarrhea	animal	
intestines/stomac of atlantic hagfish (myxine glutinosa)	animal	
intramuscular abscess of a male horse	animal	
invertebrate gut	animal	
isolated from an ark clam in the south sea of korea	animal	
isolated from fish	animal	
isolated from nasal swabs of healthy pigs	animal	
isolated from nematode bodies	animal	
isolated from no. 168 er-hua-nian pig	animal	
isolated from sea urchin collected from troitsa bay in the gulf of peter the great, east sea	animal	
isolated from the gills of a bluespotted ribbontail ray (taeniura lymma), captive bred, found dead at 16.09.2014, died in quarantine. isolation of strain from gills only, other organs negative.	animal	
isolated from the gut of a fossil insect, galloisiana sp.	animal	
isolated from the intestines of sick birds in the farm	animal	
ixodes ricinus tick collected at a park	animal	
ixodes ricinus ticks	animal	
ixodes ricinus ticks and geographical distribution of this bacterium is slovakia	animal	
japanese oyster larvae	animal	
jaw lesion in adult cow	animal	
jellyfish	animal	
jerusalem swine	animal	
joints of a diseased lamb	animal	
jumping spider gut	animal	
kapchunka dried salted whitefish	animal	
kidney of diseased fish	animal	
kitten	animal	
kudu (antelope)	animal	
l1 and l2 stage larvae of the obligate parasitic fly wohlfarthia magnifica	animal	
lab reared ticks from oklahoma stateuniversity's tick rearing facility	animal	
larson prairie dog colony	animal	
larva	animal	
larvae	animal	
larvae developed in green 'suri' olives	animal	
larvae from a hatchery	animal	
larvae from hard clams (mercenaria mercenaria)	animal	
larvae gut	animal	
larval gut	animal	
laying hen farm	animal	
leafcutter ant acromyrmex octospinosus	animal	
leech mucosal secretions	animal	
left hand	animal	
lesioned lung of an infected beef cattle, yingcheng city in hubei province, china. in vitro subculture.	animal	
light organ of abacterially bioluminescent leiognathid fish photoplagios rivulatus	animal	
liver and spleen of wood pigeon	animal	
liver from bovine aborted fetus	animal	
liver of a chick with clinical signs of septicemia	animal	
liver of a diseased adult female chicken	animal	
liver of diseased chicken	animal	
liver of fish with pasteurellosis	animal	
liver of seal	animal	
liver of turkey died of fowl cholera disease	animal	
living meat pigeon with severepneumonia signs	animal	
lizard	animal	
lung abscess of foal	animal	
lung from a calf with pneumonia	animal	
lung lesions of a dead ibex	animal	
lung of a calf with pneumonia	animal	
lung of a diseased piglet	animal	
lung of a duck that died of fowl cholera	animal	
lung of a goat with pneumoniae	animal	
lung sample from infected duck	animal	
lungs from a calf with respiratory disease	animal	
lungs of a dead parakeet	animal	
lungs of dead pneumonia animals	animal	
lungs of sick pig	animal	
lymphangitis  from a horse	animal	
mackerel intestinal sample	animal	
madin-darby bovine kidney (mdbk) cells	animal	
madracis decactis corals	animal	
male horse	animal	
malolyakovskiy mammoth's intestinal content	animal	
mandibular lymph node of a sheep	animal	
marine fish	animal	
marine invertebrate	animal	
marine sponge	animal	
marine sponge and the genome amplified with the wgs (whole genome amplification) process	animal	
marine sponge from a depth of 350meters near komandorskiye islands	animal	
marine sponge from terra nova bay	animal	
marine sponge inhabited in seawater	animal	
marine sponge reef	animal	
member of the order lepidoptera which includes moths and butterflies	animal	
midgut of silkworm	animal	
midgut of the mosquito anophelesgambiae ngouss strain maintained in insectary	animal	
millipede feces	animal	
missouri dairy cow	animal	
mite	animal	
mites	animal	
mixed plankton sample collected	animal	
mollusc	animal	
mollusk	animal	
monkey liver	animal	
monkey placenta	animal	
monkey stomach	animal	
moribund fish	animal	
moribund muskrat (ondatra zibethica)	animal	
mosquito colony	animal	
mosquito gut	animal	
mosquito gut, after a blood meal	animal	
mosquito larval gut	animal	
mouse kidney	animal	
mouse microbiota	animal	
mouth of a dog	animal	
mucus from chicken head	animal	
mucus of coral	animal	
mule	animal	
murine leukemia tissue culture	animal	
murine model	animal	
murine proximal colon	animal	
muscle tissue from wild boar carcass	animal	
muscle tissue from wild boar carcass n.1	animal	
muscle tissue from wild boar carcass n.2	animal	
muscle tissue from wild boar carcass n.3	animal	
muscle tissue from wild fallow deer carcass n.1	animal	
muskrat	animal	
muskrat spleen	animal	
mussel	animal	
mussel shell (raw)	animal	
mussels	animal	
naris of a 3-month-old new zealand white rabbit	animal	
nasal cavity of common seals (phoca vitulina)	animal	
nasal swab of camel from kenya	animal	
nasopharynx of horse	animal	
neck subcutaneous abscess of a 2 years old boer goat	animal	
nematodes from soil samples	animal	
nematodes in the environment	animal	
neonatal calf faeces	animal	
newt tank	animal	
nfected tick	animal	
nonviable goose egg	animal	
norwegian sheep	animal	
nymphal deer tick, ixodes scapularis,	animal	
oral and pharyngeal swabs of an apparently healthy pigeon	animal	
oral cavity of cats	animal	
oral cavity of laboratory rat	animal	
organic chicken farm	animal	
organisms were grown from swabs orsamples taken from cow genitalia:uterus	animal	
ornithodoros hermsii tick	animal	
oryx's lymph node	animal	
other flea species, as well as ticks and other insects	animal	
oviduct of the diseased chicken	animal	
ovine (kid) with pneumonia	animal	
ovine rumen	animal	
ovis canadensis (bighorn sheep)	animal	
oyster	animal	
oyster larvae that has probiotic activities	animal	
oyster mantle fluid	animal	
oyster sample	animal	
oyster spat from moribund oyster	animal	
oyster,cultured off spanish mediterranean coast, vinaroz	animal	
oysters	animal	
oysters, cultured off spanish mediterranean coast	animal	
oysters, cultured off spanish mediterranean coast, vinaroz	animal	
penguin	animal	
penguin stool	animal	
penis of a caspian seal	animal	
pharynx of a normal horse	animal	
pig	animal	
pig (faeces)	animal	
pig abbatoir	animal	
pig abscess	animal	
pig caecum	animal	
pig cecal mucosa	animal	
pig ears	animal	
pig farm	animal	
pig fecal material	animal	
pig feces	animal	
pig from saxony-anhalt, germany	animal	
pig leung	animal	
pig lung	animal	
pig lungs	animal	
pig manure	animal	
pig waste	animal	
pig with atrophic rhinitis	animal	
pig with catarrhal pneumonia	animal	
pig with mucohaemorrhagic diarrhea; colon tissue	animal	
pig with septicemia	animal	
pigeon (columba spp	animal	
pigeon intestines	animal	
piglet abortion	animal	
piglet feces	animal	
pigs with swine dysentry-like enteric disease	animal	
pill bugs from backyard	animal	
placental fluid of aborted goat	animal	
pneumonic lung of a domesticatedturkey	animal	
pneumonic lung of a juvenile pig in an iowa grower house	animal	
pogona vitticeps: feces	animal	
pool of chicken ovaries	animal	
pooled blood samples from naturally infected cattle	animal	
porcine	animal	
porcine faeces	animal	
porcine feces	animal	
porcine feed	animal	
porcine gastric mucosa	animal	
porcine intestine	animal	
porcine small intestine	animal	
poultry , feces	animal	
poultry carcass	animal	
poultry carrying twelve acquired antibiotic resistance genes	animal	
poultry environment	animal	
poultry farm	animal	
poultry fecal material	animal	
poultry litter	animal	
prairie dog	animal	
predatory mite	animal	
prepuce of a naturally-infected bull	animal	
preweaned piglet feces	animal	
rabbit	animal	
rabbit feces	animal	
rabbit joint	animal	
rabbit tick	animal	
rainbow trout	animal	
rainbow trout mucus	animal	
rainbow trout suffering from lactococosis	animal	
ram semen	animal	
rat	animal	
rat faeces	animal	
rat feces	animal	
rattlesnake meat patties	animal	
raw sheep milk	animal	
reared clam	animal	
rectal swab of live bovine cattle	animal	
rectum of clinical healthy adult layingduck	animal	
rectum of horse	animal	
redtail hawk	animal	
reduvid bug	animal	
reindeer	animal	
reptile	animal	
rhipicephalus (boophilus) microplus ticks	animal	
rocky mountain goat and four alpine ibexes from the usa and from germany, respectively; rocky mountain goat: alpone ibexes	animal	
rodent	animal	
rodent host	animal	
ruddy duck	animal	
rumen contents of bos indicus cattle consuming a high forage diet (rhodes grass; chloris gayana)	animal	
rumen contents of cattle consuming a high forage diet (rhodes grass; chloris gayana) in the semi-arid tropics	animal	
rumen fluid	animal	
rumen fluid of korean native cattle	animal	
rumen fluid of korean native cattle(hanwoo)	animal	
rumen fluid, can metabolize a range of various substrates including complex carbohydrates to organic acids	animal	
russian wheat aphid biotype 2	animal	
salivary glands of ticks harvested from a human host	animal	
salmon gills from a freshwater fish	animal	
sand goby fish	animal	
scabs from cattle, north rhodesia	animal	
scallop	animal	
scallop larvae	animal	
sea bass	animal	
sea lion	animal	
sea snake	animal	
sea urchin	animal	
sea-bass	animal	
seagull droppings	animal	
shark	animal	
sheep	animal	
sheep (ovine) with epididymitis	animal	
sheep faeces	animal	
sheep fecal sample	animal	
sheep feces	animal	
sheep rumen	animal	
sheep tissue	animal	
sheep,	animal	
sheepskin	animal	
shell egg	animal	
shellfish	animal	
shellfish beds in the pacific ocean	animal	
shellfish hatchery	animal	
shellfish: shrimp	animal	
shrimp	animal	
shrimp hemolymph	animal	
shrimp hepatopancreas	animal	
shrimp pond	animal	
sick domestic birds	animal	
sick duck	animal	
sick fish	animal	
sick tilapia fish	animal	
silkworm	animal	
single cell from gut of western honeybee	animal	
skin from symptomatic atlantic salmon	animal	
skin from symptomatic trout	animal	
skin lesions (gelatinous edema) on the head and periorbital tissues of a laying hen with swollen head syndrome	animal	
skin of chicken	animal	
skin of the udder of a cow with a profound ulceration	animal	
skin scrapings from the infected head of a sheep	animal	
skin swab of a dog suffering from canine pyoderma.	animal	
small intestine and lymph nodes from a common seal pup with lymphadenopathy and pulmonary congestion and hemorrhaging	animal	
small intestine content of a cow at a french slaughterhouse (inra)	animal	
small intestine of buffalo calf with hemorrhagic septicemia	animal	
snail	animal	
snail shell	animal	
snake	animal	
snapper liver	animal	
sockeye salmon	animal	
soft tissue (calf)	animal	
spleen of a wild rat	animal	
spleen of the diseased large yellow croaker fish	animal	
spleen of wild mouse	animal	
spleen tissue from parrot	animal	
spoon worm	animal	
squid	animal	
squirrel	animal	
squirrelfish gut	animal	
still-born lamb	animal	
stillbirth in non-human primates	animal	
stillborn fetus from a slaughterhouse	animal	
stomach content of brucella melitensis infected aborted goat fetus from institute’s barbari goat farm	animal	
stored porcine semen	animal	
stranded wild atlantic white-sided dolphin	animal	
